tag,question,context,,,,,,,,,,,,,,,,,,,,,,,,
funding,Do Assistantship comes with a full tuition scholarship?,"Our program automatically considers accepted students for merit-based scholarships which are sent alongside a student's acceptance letter. If you get accepted into our program and there is no financial scholarship mentioned then that means you did not get one. As a returning student in your second year, you will be eligible to compete for a merit-based scholarship. Most of our scholarships are the equivalent of one or two classes per year. There are Research Assistant (RA) and Teaching Assistant (TA) opportunities on campus. Assistantships are generally awarded to continuing students who have performed well academically. A number of our students have been RAs for different programs on campus, including Computer Science, Foreign Service, and Public Policy. Our program hires many of our own students as TAs each semester. You can learn about how assistantships work by visiting the Graduate School of Arts and Sciences Financial Support page.",,,,,,,,,,,,,,,,,,,,,,,,
GMAT,Is GMAT accepted,"We do accept GMAT scores. Please note GRE/GMAT is not mandatory. If you think your GMAT score will boost your application, we encourage you to send it to us! You can send the official GMAT scores using the code JT7-GJ-96",,,,,,,,,,,,,,,,,,,,,,,,
GMAT,can you provide the MS in Data Science and Analytics school code for GMAT? ,"We do accept GMAT scores. Please note GRE/GMAT is not mandatory. If you think your GMAT score will boost your application, we encourage you to send it to us! You can send the official GMAT scores using the code JT7-GJ-97",,,,,,,,,,,,,,,,,,,,,,,,
GMAT,can I can apply your program with my GMAT score?,"We do accept GMAT scores. Please note GRE/GMAT is not mandatory. If you think your GMAT score will boost your application, we encourage you to send it to us! You can send the official GMAT scores using the code JT7-GJ-98",,,,,,,,,,,,,,,,,,,,,,,,
GMAT,what is the school code to send GMAT scores,"We do accept GMAT scores. Please note GRE/GMAT is not mandatory. If you think your GMAT score will boost your application, we encourage you to send it to us! You can send the official GMAT scores using the code JT7-GJ-99",,,,,,,,,,,,,,,,,,,,,,,,
GMAT,I request you to please let me know if my GMAT score is acceptable in lieu of the GRE score.,"We do accept GMAT scores. Please note GRE/GMAT is not mandatory. If you think your GMAT score will boost your application, we encourage you to send it to us! You can send the official GMAT scores using the code JT7-GJ-100",,,,,,,,,,,,,,,,,,,,,,,,
goodbye,Bye,See you!,,,,,,,,,,,,,,,,,,,,,,,,
goodbye,See you later,"Nice chatting with you, Bye!",,,,,,,,,,,,,,,,,,,,,,,,
goodbye,Goodbye,Till next time!,,,,,,,,,,,,,,,,,,,,,,,,
goodbye,"Nice chatting to you, bye",Till next time!,,,,,,,,,,,,,,,,,,,,,,,,
goodbye,Till next time,"Nice chatting with you, Bye!",,,,,,,,,,,,,,,,,,,,,,,,
GRE_code,How can I send GRE scores,We do require that you send the official test score through ETS. The school code is 5244. It is not necessary to specify any departmental code.,,,,,,,,,,,,,,,,,,,,,,,,
GRE_code,do I need to send an official GRE score through ETS?,We do require that you send the official test score through ETS. The school code is 5244. It is not necessary to specify any departmental code.,,,,,,,,,,,,,,,,,,,,,,,,
GRE_code,what is the school code to send GRE scores,We do require that you send the official test score through ETS. The school code is 5244. It is not necessary to specify any departmental code.,,,,,,,,,,,,,,,,,,,,,,,,
GRE_code,Do you need to have received the official scores from the testing agency for them to be considered.,We do require that you send the official test score through ETS. The school code is 5244. It is not necessary to specify any departmental code.,,,,,,,,,,,,,,,,,,,,,,,,
GRE_code,Could you please give me your GRE code?,We do require that you send the official test score through ETS. The school code is 5244. It is not necessary to specify any departmental code.,,,,,,,,,,,,,,,,,,,,,,,,
GRE_code,What code should I use to send the score through the ETS,We do require that you send the official test score through ETS. The school code is 5244. It is not necessary to specify any departmental code.,,,,,,,,,,,,,,,,,,,,,,,,
GRE_code,"if I choose to submit my GRE score, do I need to request the official score to your office?",We do require that you send the official test score through ETS. The school code is 5244. It is not necessary to specify any departmental code.,,,,,,,,,,,,,,,,,,,,,,,,
GRE_code,"should I require it from ETS and send the official score directly to you, or is it fine for me just simply upload the unofficial score on the application form?",We do require that you send the official test score through ETS. The school code is 5244. It is not necessary to specify any departmental code.,,,,,,,,,,,,,,,,,,,,,,,,
GRE_code,what is the department code of this program?,We do require that you send the official test score through ETS. The school code is 5244. It is not necessary to specify any departmental code.,,,,,,,,,,,,,,,,,,,,,,,,
GRE_code,Could you please tell me the code for reporting GRE to your program?,We do require that you send the official test score through ETS. The school code is 5244. It is not necessary to specify any departmental code.,,,,,,,,,,,,,,,,,,,,,,,,
GRE_con,will GRE scores be considered during the review process?,"Although GRE is not required. If you think your GRE score will boost your application, we encourage you to send it to us! You can send the GRE scores through ETS through the code: 5244. It is not necessary to specify any departmental code.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_con,"I if I send my score to the university, will it increase my change to get into the program?","Although GRE is not required, if you think your GRE score will boost your application, we encourage you to send it to us! Your scores will be taken into consideration. You can send the GRE scores through ETS through the code: 5244. It is not necessary to specify any departmental code.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_con,"I have already taken the GRE test in November and achieved a pretty good score, which will greatly strengthen my candidacy. Hence, I want to know whether the admission committee will conduct a GRE-blind review of all applications?","Although GRE is not required, if you think your GRE score will boost your application, we encourage you to send it to us! Your scores will be taken into consideration. You can send the GRE scores through ETS through the code: 5244. It is not necessary to specify any departmental code.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_con,Will GRE scores be reviewed?,"Although GRE is not required, if you think your GRE score will boost your application, we encourage you to send it to us! Your scores will be taken into consideration. You can send the GRE scores through ETS through the code: 5244. It is not necessary to specify any departmental code.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_con,"I see that GRE is ""not required"" for admission. Does this mean that there are no advantages/disadvantages of submitting GRE scores?","Although GRE is not required, if you think your GRE score will boost your application, we encourage you to send it to us! Your scores will be taken into consideration. You can send the GRE scores through ETS through the code: 5244. It is not necessary to specify any departmental code.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_con,"When the GRE exam is not required, can I send my GRE score to you? Will it be reviewed?","Although GRE is not required, if you think your GRE score will boost your application, we encourage you to send it to us! Your scores will be taken into consideration. You can send the GRE scores through ETS through the code: 5244. It is not necessary to specify any departmental code.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_req,Is GRE mandatory,"Please be aware that we do not require the GRE to be submitted as a part of the application, it is completely optional. However, if you decide to submit scores, we do accept the GRE or GMAT or GRE at home scores.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_req,Are GRE at home scores accepted,"Please be aware that we do not require the GRE to be submitted as a part of the application, it is completely optional. However, if you decide to submit scores, we do accept the GRE or GMAT or GRE at home scores.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_req,Is GRE Score required for MSc Data Science,"Please be aware that we do not require the GRE to be submitted as a part of the application, it is completely optional. However, if you decide to submit scores, we do accept the GRE or GMAT or GRE at home scores.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_req,is the GRE waived ,"Please be aware that we do not require the GRE to be submitted as a part of the application, it is completely optional. However, if you decide to submit scores, we do accept the GRE or GMAT or GRE at home scores.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_req,is GRE required for international students,"Please be aware that we do not require the GRE to be submitted as a part of the application, it is completely optional. However, if you decide to submit scores, we do accept the GRE or GMAT or GRE at home scores.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_req,what is the minimum required GRE score?,"Please be aware that we do not require the GRE to be submitted as a part of the application, it is completely optional. However, if you decide to submit scores, we do accept the GRE or GMAT or GRE at home scores.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_req,Is the GRE Examination Optional,"Please be aware that we do not require the GRE to be submitted as a part of the application, it is completely optional. However, if you decide to submit scores, we do accept the GRE or GMAT or GRE at home scores.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_req,could you waive GRE requirement for international students?,"Please be aware that we do not require the GRE to be submitted as a part of the application, it is completely optional. However, if you decide to submit scores, we do accept the GRE or GMAT or GRE at home scores.",,,,,,,,,,,,,,,,,,,,,,,,
GRE_req,Will you accept GRE Home test in this round application?,"Please be aware that we do not require the GRE to be submitted as a part of the application, it is completely optional. However, if you decide to submit scores, we do accept the GRE or GMAT or GRE at home scores.",,,,,,,,,,,,,,,,,,,,,,,,
greeting,Hi there,"Hi there, how can I help?",,,,,,,,,,,,,,,,,,,,,,,,
greeting,How are you,"Hello, thanks for asking",,,,,,,,,,,,,,,,,,,,,,,,
greeting,Is anyone there?,"Hi there, how can I help?",,,,,,,,,,,,,,,,,,,,,,,,
greeting,Hey,"Hi there, how can I help?",,,,,,,,,,,,,,,,,,,,,,,,
greeting,Hola,"Hi there, how can I help?",,,,,,,,,,,,,,,,,,,,,,,,
greeting,Hello,"Hi there, how can I help?",,,,,,,,,,,,,,,,,,,,,,,,
greeting,Good Day,Good to see you,,,,,,,,,,,,,,,,,,,,,,,,
ielts,is ielts accepted instead of toefl,We accept IELTS. A minimum score of 7.5 from the International English Language Testing System (IELTS).,,,,,,,,,,,,,,,,,,,,,,,,
ielts,can i send ielts scores instead of toefl,We accept IELTS. A minimum score of 7.5 from the International English Language Testing System (IELTS).,,,,,,,,,,,,,,,,,,,,,,,,
ielts,what is the minimum required score for ielts,We accept IELTS. A minimum score of 7.5 from the International English Language Testing System (IELTS).,,,,,,,,,,,,,,,,,,,,,,,,
ielts,what is the minimum ielts score,We accept IELTS. A minimum score of 7.5 from the International English Language Testing System (IELTS).,,,,,,,,,,,,,,,,,,,,,,,,
ielts,is ielts accepted as english proficiency requirement,We accept IELTS. A minimum score of 7.5 from the International English Language Testing System (IELTS).,,,,,,,,,,,,,,,,,,,,,,,,
ielts,what is the minimum required IELTS score,We accept IELTS. A minimum score of 7.5 from the International English Language Testing System (IELTS).,,,,,,,,,,,,,,,,,,,,,,,,
information_session,does the program have an information session,The Information Session generally takes place in October- November. Applicants can register for the same. Please email gradanalytics@georgetown.edu for the exam dates and signup sheet. You can view previous information session recordings and slides here: https://analytics.georgetown.edu/admissions/oh_webinars/,,,,,,,,,,,,,,,,,,,,,,,,
information_session,is there an upcoming information session,The Information Session generally takes place in October- November. Applicants can register for the same. Please email gradanalytics@georgetown.edu for the exam dates and signup sheet. You can view previous information session recordings and slides here: https://analytics.georgetown.edu/admissions/oh_webinars/,,,,,,,,,,,,,,,,,,,,,,,,
information_session,can you share details for the information session,The Information Session generally takes place in October- November. Applicants can register for the same. Please email gradanalytics@georgetown.edu for the exam dates and signup sheet. You can view previous information session recordings and slides here: https://analytics.georgetown.edu/admissions/oh_webinars/,,,,,,,,,,,,,,,,,,,,,,,,
information_session,where can i register for the information session,The Information Session generally takes place in October- November. Applicants can register for the same. Please email gradanalytics@georgetown.edu for the exam dates and signup sheet. You can view previous information session recordings and slides here: https://analytics.georgetown.edu/admissions/oh_webinars/,,,,,,,,,,,,,,,,,,,,,,,,
information_session,when is the upcoming information,The Information Session generally takes place in October- November. Applicants can register for the same. Please email gradanalytics@georgetown.edu for the exam dates and signup sheet. You can view previous information session recordings and slides here: https://analytics.georgetown.edu/admissions/oh_webinars/,,,,,,,,,,,,,,,,,,,,,,,,
instate tuition,is there in-state tuition,"Georgetown University is a private institution and therefore there is no ""in-state"" tuition. The tuition per credit is the same for all students. ",,,,,,,,,,,,,,,,,,,,,,,,
instate tuition,does the university have instate and outstate fees,"Georgetown University is a private institution and therefore there is no ""in-state"" tuition. The tuition per credit is the same for all students. ",,,,,,,,,,,,,,,,,,,,,,,,
instate tuition,can i considered for instate tuition,"Georgetown University is a private institution and therefore there is no ""in-state"" tuition. The tuition per credit is the same for all students. ",,,,,,,,,,,,,,,,,,,,,,,,
instate tuition,I live in Virginia State. Am I considered in state for tuition or out of state?,"Georgetown University is a private institution and therefore there is no ""in-state"" tuition. The tuition per credit is the same for all students. ",,,,,,,,,,,,,,,,,,,,,,,,
